,SPY,SPY,SPY,SPY,SPY,SPY,SPY,FSLR,FSLR,FSLR,FSLR,FSLR,FSLR,FSLR,SEDG,SEDG,SEDG,SEDG,SEDG,SEDG,SEDG,DQ,DQ,DQ,DQ,DQ,DQ,DQ,CSIQ,CSIQ,CSIQ,CSIQ,CSIQ,CSIQ,CSIQ
,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
2018-01-02,267.86,268.81,267.4,268.77,87130750,233353,268.228135,67.84,70.5,67.84,70.43,1752173,13453,69.736077,37.65,38.2,37.35,38.05,407310,3370,37.789484,60.12,63.72,60.0533,62.57,390947,3440,62.48372,16.98,17.16,16.88,17.14,736138,4712,17.076758
2018-01-03,268.99,270.64,268.96,270.47,90658541,233673,269.903535,70.87,71.59,69.02,69.8,1923969,16097,69.996869,38.25,39.15,37.85,39.05,908552,6637,38.747971,63.22,64.75,61.85,63.14,347190,3325,63.128077,17.18,17.2,16.8348,17.07,987611,4674,17.036264
2018-01-04,271.22,272.16,270.5447,271.61,83813282,206556,271.628213,70.0,70.2,66.2,69.14,3032663,19854,67.859662,39.55,39.65,36.45,37.35,1013634,8185,37.327391,63.33,64.5,62.12,62.5,216966,2087,63.043726,17.13,17.16,16.78,17.06,799063,4740,16.950192
2018-01-05,272.56,273.56,271.95,273.42,85250827,208413,272.850434,69.0,69.59,68.25,69.17,1021405,9996,69.04341,37.35,38.375,37.15,37.9,553214,4202,38.029264,62.77,65.5,62.57,64.78,219312,2107,64.644756,17.0,17.19,16.9,17.01,768883,4063,17.0608
2018-01-08,273.32,274.1,272.98,273.92,57580592,150234,273.764418,69.25,70.13,67.7,69.62,1067348,8783,69.167618,38.0,38.5233,37.75,38.35,487504,3879,38.201442,63.75,63.98,52.04,55.85,1488651,10612,55.766221,17.03,17.2,16.85,17.1,727053,4153,17.069678
2018-01-09,274.43,275.25,274.081,274.54,57475477,186073,274.622331,69.82,70.2,68.3902,70.02,1286178,9066,69.591731,38.35,38.5,36.65,37.2,667017,4998,37.505327,57.27,62.16,57.215,59.93,830381,7030,60.180454,17.08,17.09,16.72,16.95,725498,4271,16.908368
2018-01-10,273.71,274.42,272.92,274.12,69612104,209105,273.957656,69.37,70.03,68.92,69.64,1448815,8755,69.567201,37.0,37.3,36.5,36.6,449815,4030,36.848518,59.62,62.535,59.6,60.53,319989,2622,61.399217,16.8,16.9549,16.73,16.93,576459,3212,16.857909
2018-01-11,274.75,276.12,274.56,276.12,65361555,188737,275.410033,70.3,76.61,70.3,76.27,6341248,37530,75.219138,35.85,37.7,35.005,37.5,715882,5872,36.762993,61.05,64.9,60.6,64.0,259520,2271,63.637718,16.99,17.47,16.8242,17.3,934011,4785,17.290951
2018-01-12,276.43,278.11,276.0819,277.92,94192056,269924,277.486825,75.56,75.78,72.361,73.41,4033531,26092,73.434621,37.65,38.5,36.2,36.3,604158,4576,37.021531,64.0,69.76,63.5,68.24,589478,4711,67.72485,17.1,17.1,16.47,16.55,1833928,9477,16.76194
